start,end,goog_dolar
05/11/08,05/17/08,28
05/18/08,05/24/08,19
05/25/08,05/31/08,22
06/01/08,06/07/08,26
06/08/08,06/14/08,23
06/15/08,06/21/08,19
06/22/08,06/28/08,19
06/29/08,07/05/08,19
07/06/08,07/12/08,16
07/13/08,07/19/08,16
07/20/08,07/26/08,16
07/27/08,08/02/08,15
08/03/08,08/09/08,15
08/10/08,08/16/08,16
08/17/08,08/23/08,12
08/24/08,08/30/08,14
08/31/08,09/06/08,17
09/07/08,09/13/08,19
09/14/08,09/20/08,26
09/21/08,09/27/08,23
09/28/08,10/04/08,27
10/05/08,10/11/08,64
10/12/08,10/18/08,52
10/19/08,10/25/08,43
10/26/08,11/01/08,64
11/02/08,11/08/08,47
11/09/08,11/15/08,41
11/16/08,11/22/08,32
11/23/08,11/29/08,30
11/30/08,12/06/08,41
12/07/08,12/13/08,37
12/14/08,12/20/08,34
12/21/08,12/27/08,30
12/28/08,01/03/09,33
01/04/09,01/10/09,39
01/11/09,01/17/09,32
01/18/09,01/24/09,29
01/25/09,01/31/09,28
02/01/09,02/07/09,28
02/08/09,02/14/09,23
02/15/09,02/21/09,28
02/22/09,02/28/09,34
03/01/09,03/07/09,48
03/08/09,03/14/09,38
03/15/09,03/21/09,34
03/22/09,03/28/09,36
03/29/09,04/04/09,37
04/05/09,04/11/09,32
04/12/09,04/18/09,32
04/19/09,04/25/09,27
04/26/09,05/02/09,24
05/03/09,05/09/09,30
05/10/09,05/16/09,27
05/17/09,05/23/09,26
05/24/09,05/30/09,25
05/31/09,06/06/09,29
06/07/09,06/13/09,28
06/14/09,06/20/09,27
06/21/09,06/27/09,33
06/28/09,07/04/09,31
07/05/09,07/11/09,25
07/12/09,07/18/09,28
07/19/09,07/25/09,22
07/26/09,08/01/09,24
08/02/09,08/08/09,27
08/09/09,08/15/09,26
08/16/09,08/22/09,25
08/23/09,08/29/09,28
08/30/09,09/05/09,22
09/06/09,09/12/09,23
09/13/09,09/19/09,21
09/20/09,09/26/09,23
09/27/09,10/03/09,24
10/04/09,10/10/09,23
10/11/09,10/17/09,22
10/18/09,10/24/09,23
10/25/09,10/31/09,24
11/01/09,11/07/09,24
11/08/09,11/14/09,24
11/15/09,11/21/09,22
11/22/09,11/28/09,23
11/29/09,12/05/09,23
12/06/09,12/12/09,24
12/13/09,12/19/09,26
12/20/09,12/26/09,21
12/27/09,01/02/10,24
01/03/10,01/09/10,33
01/10/10,01/16/10,30
01/17/10,01/23/10,26
01/24/10,01/30/10,27
01/31/10,02/06/10,32
02/07/10,02/13/10,31
02/14/10,02/20/10,31
02/21/10,02/27/10,27
02/28/10,03/06/10,27
03/07/10,03/13/10,24
03/14/10,03/20/10,23
03/21/10,03/27/10,20
03/28/10,04/03/10,21
04/04/10,04/10/10,24
04/11/10,04/17/10,23
04/18/10,04/24/10,19
