date,tipo,venta,compra
5/6/2011,Informal,4.2680,
5/9/2011,Casas de cambio,4.1100,
5/9/2011,Informal,4.2680,
5/10/2011,Casas de cambio,4.1100,
5/10/2011,Informal,4.2750,
5/11/2011,Casas de cambio,4.1100,
5/11/2011,Informal,4.2830,
5/12/2011,Casas de cambio,4.1100,
5/12/2011,Informal,4.2850,
5/13/2011,Casas de cambio,4.1100,
5/13/2011,Informal,4.2880,
5/16/2011,Casas de cambio,4.1150,
5/16/2011,Informal,4.2930,
5/17/2011,Casas de cambio,4.1150,
5/17/2011,Informal,4.3150,
5/18/2011,Casas de cambio,4.1200,
5/18/2011,Informal,4.3200,
5/19/2011,Casas de cambio,4.1200,
5/19/2011,Informal,4.3330,
5/20/2011,Casas de cambio,4.1200,
5/20/2011,Informal,4.3330,
5/23/2011,Casas de cambio,4.1200,
5/23/2011,Informal,4.3400,
5/24/2011,Casas de cambio,4.1200,
5/24/2011,Informal,4.3500,
5/26/2011,Casas de cambio,4.1200,
5/26/2011,Informal,4.3430,
5/27/2011,Casas de cambio,4.1200,
5/27/2011,Informal,4.3430,
5/30/2011,Casas de cambio,4.1200,
5/30/2011,Informal,4.3250,
5/31/2011,Casas de cambio,4.1200,
5/31/2011,Informal,4.2980,
6/1/2011,Casas de cambio,4.1200,
6/1/2011,Informal,4.3050,
6/2/2011,Casas de cambio,4.1200,
6/2/2011,Informal,4.2950,
6/3/2011,Casas de cambio,4.1250,
6/3/2011,Informal,4.2830,
6/6/2011,Casas de cambio,4.1250,
6/6/2011,Informal,4.2680,
6/7/2011,Casas de cambio,4.1250,
6/7/2011,Informal,4.2630,
6/8/2011,Casas de cambio,4.1250,
6/8/2011,Informal,4.2750,
6/9/2011,Casas de cambio,4.1250,
6/9/2011,Informal,4.2630,
6/10/2011,Casas de cambio,4.1250,
6/10/2011,Informal,4.2600,
6/13/2011,Casas de cambio,4.1300,
6/13/2011,Informal,4.2630,
6/14/2011,Casas de cambio,4.1300,
6/14/2011,Informal,4.2880,
6/15/2011,Casas de cambio,4.1300,
6/15/2011,Informal,4.3080,
6/16/2011,Casas de cambio,4.1300,
6/16/2011,Informal,4.3100,
6/17/2011,Casas de cambio,4.1300,
6/17/2011,Informal,4.3000,
6/21/2011,Casas de cambio,4.1300,
6/21/2011,Informal,4.2930,
6/22/2011,Casas de cambio,4.1300,
6/22/2011,Informal,4.2980,
6/23/2011,Casas de cambio,4.1300,
6/23/2011,Informal,4.3000,
6/24/2011,Casas de cambio,4.1300,
6/24/2011,Informal,4.3000,
6/27/2011,Casas de cambio,4.1300,
6/27/2011,Informal,4.2900,
6/28/2011,Casas de cambio,4.1300,
6/28/2011,Informal,4.2900,
6/29/2011,Casas de cambio,4.1400,
6/29/2011,Informal,4.2900,
6/30/2011,Casas de cambio,4.1400,
6/30/2011,Informal,4.2730,
7/1/2011,Casas de cambio,4.1400,
7/1/2011,Informal,4.2750,
7/4/2011,Casas de cambio,4.1400,
7/4/2011,Informal,4.2680,
7/5/2011,Casas de cambio,4.1400,
7/5/2011,Informal,4.2600,
7/6/2011,Casas de cambio,4.1450,
7/6/2011,Informal,4.2700,
7/7/2011,Casas de cambio,4.1500,
7/7/2011,Informal,4.2630,
7/8/2011,Casas de cambio,4.1500,
7/8/2011,Informal,4.2630,
7/11/2011,Casas de cambio,4.1500,
7/11/2011,Informal,4.2600,
7/12/2011,Casas de cambio,4.1550,
7/12/2011,Informal,4.2700,
7/13/2011,Casas de cambio,4.1550,
7/13/2011,Informal,4.2800,
7/14/2011,Casas de cambio,4.1550,
7/14/2011,Informal,4.2850,
7/15/2011,Casas de cambio,4.1550,
7/15/2011,Informal,4.2930,
7/18/2011,Casas de cambio,4.1550,
7/18/2011,Informal,4.2900,
7/19/2011,Casas de cambio,4.1550,
7/19/2011,Informal,4.3130,
7/20/2011,Casas de cambio,4.1600,
7/20/2011,Informal,4.3150,
7/21/2011,Casas de cambio,4.1650,
7/21/2011,Informal,4.3180,
7/22/2011,Casas de cambio,4.1650,
7/22/2011,Informal,4.3200,
7/25/2011,Casas de cambio,4.1650,
7/25/2011,Informal,4.3250,
7/26/2011,Casas de cambio,4.1650,
7/26/2011,Informal,4.3430,
7/27/2011,Casas de cambio,4.1650,
7/27/2011,Informal,4.3480,
7/28/2011,Casas de cambio,4.1700,
7/28/2011,Informal,4.3400,
7/29/2011,Casas de cambio,4.1700,
7/29/2011,Informal,4.3400,
8/1/2011,Casas de cambio,4.1700,
8/1/2011,Informal,4.3230,
8/2/2011,Casas de cambio,4.1700,
8/2/2011,Informal,4.3250,
8/3/2011,Casas de cambio,4.1750,
8/3/2011,Informal,4.3280,
8/4/2011,Casas de cambio,4.1800,
8/4/2011,Informal,4.3200,
8/5/2011,Casas de cambio,4.1800,
8/5/2011,Informal,4.3200,
8/8/2011,Casas de cambio,4.1800,
8/8/2011,Informal,4.3050,
8/9/2011,Casas de cambio,4.1800,
8/9/2011,Informal,4.3400,
8/10/2011,Casas de cambio,4.1850,
8/10/2011,Informal,4.3530,
8/11/2011,Casas de cambio,4.1900,
8/11/2011,Informal,4.3450,
8/12/2011,Casas de cambio,4.1900,
8/12/2011,Informal,4.3500,
8/15/2011,Informal,4.3350,
8/15/2011,Casas de cambio,4.1900,
8/16/2011,Casas de cambio,4.1900,
8/16/2011,Informal,4.3530,
8/17/2011,Casas de cambio,4.1900,
8/17/2011,Informal,4.3600,
8/18/2011,Casas de cambio,4.1950,
8/18/2011,Informal,4.3730,
8/19/2011,Casas de cambio,4.2000,
8/19/2011,Informal,4.3700,
8/23/2011,Casas de cambio,4.2050,
8/23/2011,Informal,4.3680,
8/24/2011,Casas de cambio,4.2100,
8/24/2011,Informal,4.3900,
8/25/2011,Casas de cambio,4.2100,
8/25/2011,Informal,4.4230,
8/26/2011,Casas de cambio,4.2100,
8/26/2011,Informal,4.4380,
8/29/2011,Casas de cambio,4.2150,
8/29/2011,Informal,4.4430,
8/30/2011,Casas de cambio,4.2200,
8/30/2011,Informal,4.4430,
8/31/2011,Casas de cambio,4.2200,
8/31/2011,Informal,4.4300,
9/1/2011,Casas de cambio,4.2400,
9/1/2011,Informal,4.4150,
9/2/2011,Casas de cambio,4.2450,
9/2/2011,Informal,4.4280,
9/5/2011,Casas de cambio,4.2500,
9/5/2011,Informal,4.4180,
9/6/2011,Casas de cambio,4.2500,
9/6/2011,Informal,4.4180,
9/7/2011,Casas de cambio,4.2500,
9/7/2011,Informal,4.4280,
9/8/2011,Casas de cambio,4.2400,
9/8/2011,Informal,4.4280,
9/9/2011,Casas de cambio,4.2400,
9/9/2011,Informal,4.4300,
9/12/2011,Casas de cambio,4.2400,
9/12/2011,Informal,4.4330,
9/13/2011,Casas de cambio,4.2400,
9/13/2011,Informal,4.4350,
9/14/2011,Casas de cambio,4.2400,
9/14/2011,Informal,4.4350,
9/15/2011,Casas de cambio,4.2400,
9/15/2011,Informal,4.4400,
9/16/2011,Casas de cambio,4.2400,
9/16/2011,Informal,4.4400,
9/19/2011,Casas de cambio,4.2400,
9/19/2011,Informal,4.4430,
9/20/2011,Casas de cambio,4.2300,
9/20/2011,Informal,4.4430,
